Adresszusatz,Adresszusatz_2,Anmerkung2,Anmerkung_1,Beschreibung,Bestand,Di1_bis,Di1_von,Di_bis,Di_von,Dienstleistungen,Do1_bis,Do1_von,Do_bis,Do_von,Foto_Rechte,Foto_URL,Fr_bis,Fr_von,Hausnummer,Mi1_bis,Mi1_von,Mi_bis,Mi_von,Mo1_bis,Mo1_von,Mo_bis,Mo_von,Name,PLZ,Postfach,Sa_bis,Sa_von,So_bis,So_von,Stadt,Strasse,email,internet,lat,lon,oeffnungszeiten_besonders,telefax,telefon,telefon2
,,,,"Das IRC ist für Versorgung der Universitätsangehörigen mit Informationsressourcen und -technologien für Studium und Lehre zuständig, steht aber auch der interessierten Bevölkerung offen. Die Bibliothek im attraktiven Campus Center bietet eine große Zahl gut ausgestatteter Arbeitsplätze.","Überwiegend elektronisch: ca. 100 bibliografische und Volltext-Datenbanken, ca. 17.000 e-Books und mehr als 39.000 elektronische Zeitschriften. Der Buchbestand (ca. 50.000 Bände) ist zu über 90% englischsprachig. ",,,23,9,,,,23,9,,jacobs_university,23,9,1,,,23,9,,,23,9,Jacobs University Bremen - Information Resource Center (IRC),28759,,20,10,23,10,Bremen,Campus Ring,irc-library@jacobs-university.de,www.jacobs-university.de/library,53.1671150876137,8.65125161966193,,0421 200-494600,0421 200-4600,
,,während der Schulferien Di-Do 10.00 Uhr - 14.00 Uhr ,während der Schulzeit ,"Wissenschaftliche Spezialbibliothek mit einem an Lehrerbildung, Unterrichtspraxis, Fachdidaktiken, Schulwesen und Bildungspolitik orientierten Fachbestand für Lehrkräfte im Land Bremen. Bei Voranmeldung auch öffentlich zugänglich. ","Ein ca. 100.000 Titel umfassendes Angebot an erziehungswissenschaftlicher, didaktischer und bildungspolitischer Fachliteratur, Unterrichtsmaterialien und -dokumentationen, Loseblattwerken, Fachzeitschriften, Videos, DVDs, CD-ROMs, CDs zur präsenten Nutzung und ggf. zur Ausleihe. ",,,15,11,,,,15,11,,landesinstitut_fuer_schule,13,11,20,,,15,11,,,15,11,Landesinstitut für Schule - Bibliothek,28215,,,,,,Bremen-Findorff,Am Weidedamm ,bibliothek@lis.bremen.de,www.lis.bremen.de,53.0931310116325,8.81643974766249,,0421 361-8310,0421 361-14420,
Haus der Kirche,,während der Schulferien Mo-Fr 9.00 Uhr - 15.00 Uhr,,Theologische Bibliothek der Bremischen Evangelischen Kirche für die haupt- und ehrenamtlich Mitarbeitenden der Kirche und die interessierte Öffentlichkeit. Benutzung und Ausleihe sind kostenlos. ,"50.000 Bände, über 200 Zeitschriftenabonnement sowie digitale Medien aus den Sammelgebieten Evangelische Theologie und Kirche (ohne Religionspädagogik)",,,13,9,,,,17,9,,landeskirchliche_bibliothek,13,9,2-4,,,13,9,,,17,9,Landeskirchliche Bibliothek Bremen,28199,,,,,,Bremen,Franziuseck,bibliothek@kirche-bremen.de,www.kirche-bremen.de,53.0722242312174,8.80446473574693,,0421 5597-265,0421 5597-287,
,,Telefonische Voranmeldung erbeten ,,"Die Bibliothek des Senaors für Umwelt, Bau und Verkehr ist eine Spezialbibliothek, mit einem Bestand von 8.000 Medieneinheiten. Als Präsenzbibliothek dient sie vorrangig der Erfüllung der Dienstaufgaben der Mitarbeiterinnen und Mitarbeiter. Externe Benutzer haben die Möglichkeit die Bestände im Lesesaal einzusehen, jedoch nich auszuleihen. Für Fotokopien steht ein Kopierer zur Verfügung. Sammelschwerpunkte sind: Architektur, Stadtentwicklung, Baurecht, Raumordnung und Landesplanung. Die Bibliothek steht allen Interessierten nach Absprache zur Nutzung frei. ",8.000 Medieneinheiten. ,,,15,10,,,,15,10,Foto: Holger Kattert,senator_fuer_umwelt,15,10,1,,,15,10,,,15,10,"Senator für Umwelt, Bau und Verkehr - Bibliothek",28217,,,,,,Bremen,Am Speicher XI,brigitte.ressel-fast@umwelt.bremen.de,www.bauumwelt.bremen.de,53.0965349,8.7714968,,0421 49659217,0421 9602135,
,,,,Die Staats- und Universitätsbibliothek Bremen ist an 9 Standorten für die landesweite Literaturversorgung der staatlichen Hochschulen in Bremen und Bremerhaven zuständig. Für die Freie Hansestadt Bremen versieht sie die Aufgaben einer Landes- und Archivbibliothek. ,"Über 3,3 Mio. Medien vor Ort. Zugriff auf über 25 Mio. Online-Ressourcen. Beratung, Schulungen, Onlinekatalog, Fernleihe, Zugang zu Datenbanken und Online-Volltexten. 180 PC-Arbeitsplätze, Kopierer, Drucker und Scanner. ",,,22,8,,,,22,8,Foto: Pressestelle Universität,suub,22,8,,,,22,8,,,22,8,Staats- und Universitätsbibliothek (SuUB) Bremen,28359,,18,10,,,Bremen,Bibliothekstraße,suub@suub.uni-bemen.de,www.suub.uni-bremen.de,53.1053152230178,8.85060261391555,,0421 218-59610,0421 218-59500,
,,,,"Die Dienstbibliothek des Staatsarchivs ist eine Präsenzbibliothek, die auch der Öffentlichkeit zur Verfügung steht. Die Benutzung des Lesesaalbestandes (ca. 4.000 Bände) ist gebührenfrei. Bestellungen aus dem Magazin sind, außer für SchülerInnen und StudentInnen, gebührenpflichtig. ","Literatur zur bremischen und nordwestdeutschen Geschichte und Landeskunde. Hochschulschriften, Geschäftsberichte, Gemeindeblätter, Firmen- und Vereinsfestschriften, Amtsdrucksachen, Zeitungen (ab 1796, auf Mikrofilm)",,,16,9,,,,18,9,,staatsarchiv,16,9,1,,,18,9,,,16,9,Staatsarchiv Bremen - Bibliothek ,28203,,,,,,Bremen,Am Staatsarchiv,office@staatsarchiv.bremen.de,www.staatsarchiv-bremen.de,53.0770572119058,8.81693019002203,,0421 361-10247,0421 361-6228,
Zentralbibliothek,,,,"An 9 Standorten in Bremen stellt die Stadtbibliothek aktuelle Informations- und Literaturangebote für schulische, berufliche, Aus-, Fort-, und Weiterbildung, persönliche, gesellschaftliche und kulturelle Orientierung sowie Unterhaltung zur Verfügung. Außerschulische Leseförderung, Vermittlung von Informationskompetenz. ","Über 500.000 Medien&Bücher, Medienkisten für Kindergärten und Schulen, Einführung in die Bibliotheksnutzung, Veranstaltungen für Kindern und Erwachsene, Ausstellungen, kostenloser Internetzugang, Fernleihe. ",,,19,10,,,,20,9,"Foto: Victor Ströverm nordsign, Bremen",stadtbibliothek_bremen,19,10,201,,,19,13,,,19,10,Stadtbibliothek Bremen - Bibliothek,28195,,16,10,,,Bremen,Im Forum Am Wall,kontakt@stadtbibliohek.bremen.de,www.stadtbibliothek-bremen.de,,,,0421 361-6930,0421 361-4465,
,Roland-Center,,,,,,,18,11,,,,19,11,Foto: Stadtbibliothek Bremen,,18,11,30-50,,,,,,,18,11,Stadtbibliothek Bremen - Bibliothek Huchting,28259,,14,10,,,Bremen,Alter Dorfweg ,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-Huchting-22.html,53.05052,8.74082,,0421 361-16671,0421 261-16670,
,,,,,,,,18,11,,,,18,11,Foto: Stadtbibliothek Bremen,,14,9,31,,,,,,,,,Stadtbibliothek Bremen - Bibliothek Lesum,28717,,13,10,,,Bremen,Hindenburgstraße,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-Lesum.html,53.1690679,8.6941392,,0421 361-79034,0421 261-7142,
,,,,,,,,17,12,,,,18,12,Foto: Stadtbibliothek Bremen,,17,12,15,,,,,,,18,12,Stadtbibliothek Bremen - Bibliothek Osterholz,28325,,,,,,Bremen,Walliser Straße,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-Osterholz-24.html,53.0648462110101,8.95033447057852,,0421 361-3633,0421 361-3632,
,Im Einkaufszentrum Berliner Freiheit,,,,,,,19,11,,,,18,11,Foto: Stadtbibliothek Bremen,,18,11,,,,,,,,14,11,Stadtbibliothek Bremen - Bibliothek Vahr,28327,,14,10,,,Bremen,Kurt-Schuhmacher-Allee,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-Vahr.html,,,,0421 361-59876,0421 361-59875,
,,,,,,,,18,11,,,,18,8,Foto: Stadtbibliothek Bremen,,17,11,87,,,,,,,18,11,Stadtbibliothek Bremen - Bibliothek Vegesack,28757,,13,10,,,Bremen,Aumunder Heerweg,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-Vegesack-26.html,53.1742491,8.6203085,,0421 361-79187,0421 361-7244,
,,,,,,,,18,11,,,,18,11,Foto: Stadtbibliothek Bremen,,18,11,53,,,,,,,18,11,Stadtbibliothek Bremen - Bibliothek West,28237,,13,10,,,Bremen,Lindenhofstraße,kontakt@stadtbibliohek.bremen.de,http://stadtbibliothek-bremen.de/Standorte-in-Bremen-West.html,53.1164429,8.75861875,,0421 361-14667,0421 361-14670,
,,,,,,,,19,10,,,,20,8,Foto: Stadtbibliothek Bremen,,18,10,201,,,19,13,,,19,10,Stadtbibliothek Bremen - Graphothek,28195,,16,10,,,Bremen,Am Wall,kontakt@stadtbibliohek.bremen.de,http://www.stadtbibliothek-bremen.de/Kunst.html,53.073859,8.8123997,,,0421 361-4096,
,,,,,,,,,,,,,,,Foto: Stadtbibliothek Bremen,,,,22,,,,,,,,,Stadtbibliothek Bremen - Busbibliothek,28237,,,,,,Bremen,Fischerhuder Straße,kontakt@stadtbibliohek.bremen.de,http://www.stadtbibliothek-bremen.de/Standorte-in-Bremen-Busbibliothek.html,53.1147910185435,8.76402422533007,,0421 15919,0421 361-9173,
,,,,,,,,19,10,,,,20,9,Foto: Stadtbibliothek Bremen,,19,10,201,,,19,13,,,19,10,Stadtbibliothek Bremen - Krimibibliothek,28195,,16,10,,,Bremen,Am Wall,kontakt@stadtbibliohek.bremen.de,www.stadtbibliothek-bremen.de,53.073859,8.8123997,,0421 361-17292,0421 361-3913,
Zentralbibliothek,"Hanse-Carré, 2.Obergeschoss",,,"Auswahl, Bereitstellung , Erschließung und Vermittlung eines aktuellen Informations- und Literaturangebotes. Die Mediennutzung ist in den Räumen der Bibliothek kostenlos. Entleihungen von Medien sind kostenpflichtig; Kinder- und Jugendliche sind von der Nutzungsgebühr befreit.","156.000 Medien. Medienkisten für Kindergärten und Schulen, Benutzungsschulung, Bücher auf Rädern, Veranstaltungen für Kinder und Erwachsene, Ausstellungen, kostenloses Internet für Mitglieder, W-LAN, Fernleihe.",,,18,11,,,,19,14,,stadtbibliothek_bremerhaven,18,11,10,,,18,11,,,18,11,Stadtbibliothek Bremerhaven,27568,,14,11,,,Bremerhaven,Bgm-Smidt-Straße,stadtbibliothek@magistrat.bremerhaven.de,www.stadtbibliothek-bremerhaven.de,53.5435879210163,8.5790988096665,,0421 590-2059,0471 590-2058,
,,,,,,,,,,,,,,,,,18,14,39,19,14,13,10,,,18,14,Stadtbibliothek Bremerhaven - Stadtteilbibliothek Leherheide,27578,,13,10,,,Bremerhaven,Hans-Böckler-Straße,stadtbibliothek@magistrat.bremerhaven.de,http://www.stadtbibliothek-bremerhaven.de/standorte/stadtteilbibliothek-leherheide.html,53.590228399107,8.61953200335719,,0421 590-2489,0471 590-2480,
"Universität Bremen GW 2, Raum B 1820",,,,Forschungsbibliothek der Stiftung für Sozialgeschichte des 20.Jahrhunderts zur möglichst breiten Unterstützung historischer Studien.,"65.000 Titel aus den Bereichen der Sozial-, Medizin-, Wirtschafts- und Wisenschaftsgeschichte, der Geschichte der Sozialbewegungen und der Methodenfragen der Globalgeschichte. Großer lexikalischer, biographischer und bibliographischer Handapparat.",,,16,10,,,,16,10,Foto: Pressestelle Universität,,13,10,14,,,16,10,,,13,10,Stiftung für Sozialgeschichte - Bibliothek für Sozial- und Humanwissenschaften,28213,,,,,,Bremen,Fritz-Gansberg-Straße,bibliothek@stiftung-sozialgeschichte.de,www.stiftung-sozialgeschichte.de,53.0901430719552,8.8508484163934,,,0421 218-67258,
,(im Cinemaxx-Gebäude),,,Spezialbibliothek als Präsenzbibliothek für die Literaturversorgung der Mitarbeiter der Stiftung Übersee-Museum.,"Umfassende Literatur zu den Spezialsammelgebieten >>Ethnologie, Naturwissenschaften und Handelskunde<<, 1.800 Zeitschriftentitel, 600 laufend gehaltene Zeitschriften (überwiegend im Schriftentausch).",16,14,13,11,"Online-Katalog, fachbezogene Datenbanken",16,14,13,11,,uebersee_museum,,,1,,,,,,,,,Übersee-Museum Bremen -Bibliothek,28195,,,,,,Bremen,Huga-Schauinsland-Platz,w.steenken-eisert@uebersee-museum.de,www.uebersee-museum.de,,,,0421 16038-380,0421 16038-180,
